Address,Justdial Phone,Business Phone,Hours of operations,Name,Rating,Reviews
"Gandhi Chowk Hamirpur H O, Hamirpur-Himachal Pradesh","","01972225556","","Pizzarro","1,282 Ratings","3.8",
"Tehsil Barsar Salauni, Hamirpur-Himachal Pradesh","09725942491","","","Anokha Marriage Palace","5 Ratings","4.2",
"Devocion Bhira, Hamirpur-Himachal Pradesh","","08826410118","","Devocion Cafe","312 Ratings","4.7",
"Anu Hamirpur Paddar, Hamirpur-Himachal Pradesh","","08219744430","","Lucknow Foods","635 Ratings","4.1",
"New Road Kohta, Hamirpur-Himachal Pradesh","","09418082933","","Ms Kathi Junction","18 Ratings","3.7",
"Kehdru Bus Stop Pandher, Hamirpur-Himachal Pradesh","","08894417262","","Highway Rasoi","29 Ratings","3.4",
"Near HDFC Kohta, Hamirpur-Himachal Pradesh","","08091950505","","Hotel Paradise","1,223 Ratings","4.0",
"","","09817904444","","Suraj Restaurant","2,452 Ratings","3.8",
"paddar, Hamirpur-Himachal Pradesh","","09882583098","","Zayka Sweet & Dhaba","712 Ratings","4.1",
"Baru, Hamirpur-Himachal Pradesh","","09817904444","","Suraj Sweets","185 Ratings","4.1",
"Una Jahu Nerchowk Road Jahu, Hamirpur-Himachal Pradesh","","09882172269","","Puri Dhaba","546 Ratings","3.7",
"Sujanpur Road Hamirpur, Hamirpur-Himachal Pradesh","","08580633266","","The Chef Point","155 Ratings","4.4",
"Rec, Hamirpur-Himachal Pradesh","","09817015815","","Cafe Ethereal","498 Ratings","4.1",
"Una Amb Road, Hamirpur-Himachal Pradesh","","09816003058","","Mate Shree Vashno Dhaba And Fast Food","96 Ratings","3.4",
"Nh70, Hamirpur-Himachal Pradesh","","09736025135","","Sonu Dhaba","10 Ratings","4.0",
"Dharamshala Shimla Road Jalari, Hamirpur-Himachal Pradesh","","09857100053","","Kaka Da Dhabha","1,127 Ratings","4.0",
"Hamirpur Road Hamirpur H O, Hamirpur-Himachal Pradesh","","09418183629","","Hunger Bites Una","121 Ratings","4.1",
"Nh3 Panjot, Hamirpur-Himachal Pradesh","","07018793007","","Tasty To Go Cafe","129 Ratings","4.6",
"Pacca Bharo Hamirpur Paddar, Hamirpur-Himachal Pradesh","","09882583098","","Zyaka Restaurant","18 Ratings","3.9",
"Hira Nagar Pratap Nagar, Hamirpur-Himachal Pradesh","","09418183629","","Hangout (Restaurant And Gaming Club)","559 Ratings","3.7",
